   0.0 TEL | Telepresence 0.101 launched at Tue Aug  6 18:48:36 2019
   0.0 TEL |   /usr/bin/telepresence --new-deployment new-service --expose 8081
   0.0 TEL | Platform: linux
   0.0 TEL | Python 3.6.7 (default, Oct 22 2018, 11:32:17)
   0.0 TEL | [GCC 8.2.0]
   0.0 TEL | [1] Running: uname -a
   0.0   1 | Linux alex-computer 5.0.0-23-generic #24~18.04.1-Ubuntu SMP Mon Jul 29 16:12:28 UTC 2019 x86_64 x86_64 x86_64 GNU/Linux
   0.0 TEL | [1] ran in 0.00 secs.
   0.0 TEL | BEGIN SPAN main.py:40(main)
   0.0 TEL | BEGIN SPAN startup.py:74(__init__)
   0.0 TEL | Found kubectl -> /usr/local/bin/kubectl
   0.0 TEL | [2] Capturing: kubectl version --short
   0.1 TEL | [2] captured in 0.05 secs.
   0.1 TEL | [3] Capturing: kubectl config current-context
   0.1 TEL | [3] captured in 0.04 secs.
   0.1 TEL | [4] Capturing: kubectl config view -o json
   0.1 TEL | [4] captured in 0.04 secs.
   0.1 TEL | [5] Capturing: kubectl --context minikube get ns default
   0.2 TEL | [5] captured in 0.05 secs.
   0.2 TEL | Command: kubectl 1.15.1
   0.2 TEL | Context: minikube, namespace: default, version: 1.15.0
   0.2 TEL | Looks like we're in a local VM, e.g. minikube.
   0.2 TEL | END SPAN startup.py:74(__init__)    0.2s
   0.2 TEL | Found ssh -> /usr/bin/ssh
   0.2 TEL | [6] Capturing: ssh -V
   0.2 TEL | [6] captured in 0.00 secs.
   0.2 TEL | Found bash -> /bin/bash
   0.2 TEL | Found sshuttle-telepresence -> /usr/libexec/sshuttle-telepresence
   0.2 TEL | Found conntrack -> /usr/sbin/conntrack
   0.2 TEL | Found iptables -> /sbin/iptables
   0.2 TEL | Found sudo -> /usr/bin/sudo
   0.2 TEL | [7] Running: sudo -n echo -n
   0.2 TEL | [7] ran in 0.00 secs.
   0.2 TEL | [8] Capturing: sudo iptables --list
   0.2 TEL | [8] captured in 0.01 secs.
   0.2 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   0.2 TEL | Found sshfs -> /usr/bin/sshfs
   0.2 TEL | Found fusermount -> /bin/fusermount
   0.2 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   0.2 TEL | [9] Running: kubectl --context minikube --namespace default get pods telepresence-connectivity-check --ignore-not-found
   0.2 TEL | [9] ran in 0.05 secs.
   1.1 TEL | Scout info: {'latest_version': '0.101', 'application': 'telepresence', 'notices': []}
   1.1 TEL | BEGIN SPAN deployment.py:97(create_new_deployment)
   1.1 >>> | Starting network proxy to cluster using new Deployment new-service
   1.1 TEL | [10] Running: kubectl --context minikube --namespace default delete --ignore-not-found svc,deploy --selector=telepresence=1ab2c1237b13443dae91ea7c5b2f016e
   1.2  10 | No resources found
   1.2 TEL | [10] ran in 0.09 secs.
   1.2 TEL | [11] Running: kubectl --context minikube --namespace default run --restart=Always --limits=cpu=100m,memory=256Mi --requests=cpu=25m,memory=64Mi new-service --image=datawire/telepresence-k8s:0.101 --labels=telepresence=1ab2c1237b13443dae91ea7c5b2f016e --port=8081 --expose --env=TELEPRESENCE_NAMESERVER=8.8.8.8
   1.3  11 | kubectl run --generator=deployment/apps.v1 is DEPRECATED and will be removed in a future version. Use kubectl run --generator=run-pod/v1 or kubectl create instead.
   1.5  11 | service/new-service created
   1.5  11 | deployment.apps/new-service created
   1.5 TEL | [11] ran in 0.30 secs.
   1.5 TEL | END SPAN deployment.py:97(create_new_deployment)    0.4s
   1.5 TEL | BEGIN SPAN remote.py:151(get_remote_info)
   1.5 TEL | BEGIN SPAN remote.py:78(get_deployment_json)
   1.5 TEL | [12] Capturing: kubectl --context minikube --namespace default get deployment -o json --selector=telepresence=1ab2c1237b13443dae91ea7c5b2f016e
   1.6 TEL | [12] captured in 0.09 secs.
   1.6 TEL | END SPAN remote.py:78(get_deployment_json)    0.1s
   1.6 TEL | Searching for Telepresence pod:
   1.6 TEL |   with name new-service-*
   1.6 TEL |   with labels {'telepresence': '1ab2c1237b13443dae91ea7c5b2f016e'}
   1.6 TEL | [13] Capturing: kubectl --context minikube --namespace default get pod -o json --selector=telepresence=1ab2c1237b13443dae91ea7c5b2f016e
   1.7 TEL | [13] captured in 0.05 secs.
   1.7 TEL | Checking new-service-8f65f5d7d-fk2xf
   1.7 TEL | Looks like we've found our pod!
   1.7 TEL | BEGIN SPAN remote.py:113(wait_for_pod)
   1.7 TEL | [14] Capturing: kubectl --context minikube --namespace default get pod new-service-8f65f5d7d-fk2xf -o json
   1.7 TEL | [14] captured in 0.07 secs.
